2026-04-30T14:04:59.962778 WARN empty_response doc_type=A75 start=201909280003 end=201912270003 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:07.701573 WARN empty_response doc_type=A75 start=201912270004 end=202003260004 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:11.177762 WARN empty_response doc_type=A75 start=202003260005 end=202006240005 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:14.349690 WARN empty_response doc_type=A75 start=202006240006 end=202009220006 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:17.718755 WARN empty_response doc_type=A75 start=202009220007 end=202012210007 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:20.811309 WARN empty_response doc_type=A75 start=202012210008 end=202103210008 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:24.286987 WARN empty_response doc_type=A75 start=202103210009 end=202106190009 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:27.871827 WARN empty_response doc_type=A75 start=202106190010 end=202109170010 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:29.408022 WARN empty_response doc_type=A75 start=202109170011 end=202112160011 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:30.729158 WARN empty_response doc_type=A75 start=202112160012 end=202203160012 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:35.553792 WARN empty_response doc_type=A75 start=202203160013 end=202206140013 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:41.217171 WARN empty_response doc_type=A75 start=202206140014 end=202209120014 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:05:43.335276 WARN empty_response doc_type=A75 start=202209120015 end=202212110015 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B03'}
2026-04-30T14:24:48.516183 WARN empty_response doc_type=A75 start=202306090018 end=202309070018 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:24:49.779599 WARN empty_response doc_type=A75 start=202309070019 end=202312060019 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:24:51.115931 WARN empty_response doc_type=A75 start=202312060020 end=202403050020 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:24:52.359283 WARN empty_response doc_type=A75 start=202403050021 end=202406030021 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:24:56.791335 WARN empty_response doc_type=A75 start=202406030022 end=202409010022 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:24:58.040437 WARN empty_response doc_type=A75 start=202409010023 end=202411300023 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:24:59.374347 WARN empty_response doc_type=A75 start=202411300024 end=202502280024 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:25:02.697462 WARN empty_response doc_type=A75 start=202502280025 end=202505290025 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:25:05.699005 WARN empty_response doc_type=A75 start=202505290026 end=202508270026 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:25:07.759076 WARN empty_response doc_type=A75 start=202508270027 end=202511250027 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:25:11.639939 WARN empty_response doc_type=A75 start=202511250028 end=202512312359 extra={'processType': 'A16', 'in_Domain': '10Y1001A1001A83F', 'out_Domain': '10Y1001A1001A83F', 'psrType': 'B14'}
2026-04-30T14:46:02.577181 WARN empty_response doc_type=A11 start=201901010000 end=201904010000 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:05.720238 WARN empty_response doc_type=A11 start=201904010001 end=201906300001 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:06.991826 WARN empty_response doc_type=A11 start=201906300002 end=201909280002 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:08.639261 WARN empty_response doc_type=A11 start=201909280003 end=201912270003 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:10.706165 WARN empty_response doc_type=A11 start=201912270004 end=202003260004 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:18.303817 WARN empty_response doc_type=A11 start=202003260005 end=202006240005 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:20.240871 WARN empty_response doc_type=A11 start=202006240006 end=202009220006 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:23.272303 WARN empty_response doc_type=A11 start=202009220007 end=202012210007 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:24.679077 WARN empty_response doc_type=A11 start=202012210008 end=202103210008 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:26.168165 WARN empty_response doc_type=A11 start=202103210009 end=202106190009 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:27.421657 WARN empty_response doc_type=A11 start=202106190010 end=202109170010 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:40.857298 WARN empty_response doc_type=A11 start=202109170011 end=202112160011 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:42.106857 WARN empty_response doc_type=A11 start=202112160012 end=202203160012 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:43.327410 WARN empty_response doc_type=A11 start=202203160013 end=202206140013 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:44.630101 WARN empty_response doc_type=A11 start=202206140014 end=202209120014 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:46.436071 WARN empty_response doc_type=A11 start=202209120015 end=202212110015 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:47.678537 WARN empty_response doc_type=A11 start=202212110016 end=202303110016 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:49.020647 WARN empty_response doc_type=A11 start=202303110017 end=202306090017 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:50.292990 WARN empty_response doc_type=A11 start=202306090018 end=202309070018 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:51.581487 WARN empty_response doc_type=A11 start=202309070019 end=202312060019 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:52.918369 WARN empty_response doc_type=A11 start=202312060020 end=202403050020 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:54.174335 WARN empty_response doc_type=A11 start=202403050021 end=202406030021 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:46:59.881640 WARN empty_response doc_type=A11 start=202406030022 end=202409010022 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:08.130725 WARN empty_response doc_type=A11 start=202409010023 end=202411300023 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:11.074716 WARN empty_response doc_type=A11 start=202411300024 end=202502280024 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:12.381913 WARN empty_response doc_type=A11 start=202502280025 end=202505290025 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:17.616221 WARN empty_response doc_type=A11 start=202505290026 end=202508270026 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:19.677520 WARN empty_response doc_type=A11 start=202508270027 end=202511250027 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:20.920942 WARN empty_response doc_type=A11 start=202511250028 end=202512312359 extra={'in_Domain': '10YFR-RTE------C', 'out_Domain': '10Y1001A1001A63L'}
2026-04-30T14:47:22.290386 WARN empty_response doc_type=A11 start=201901010000 end=201904010000 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
2026-04-30T14:47:23.620857 WARN empty_response doc_type=A11 start=201904010001 end=201906300001 extra={'in_Domain': '10Y1001A1001A63L', 'out_Domain': '10YFR-RTE------C'}
